id_do_df,variável,descrição da variável,classificação
D15,LoanMonthsSinceOrigination,Number of months since the loan originated.,INSTITUTIONAL and FINANCIAL
D15,LoanNumber,Unique numeric value associated with the loan.,UNCLASSIFIED
D15,LoanOriginalAmount,The origination amount of the loan.,INSTITUTIONAL and FINANCIAL
D15,LoanOriginationDate,The date the loan was originated.,UNCLASSIFIED
D15,LoanOriginationQuarter,The quarter in which the loan was originated.,UNCLASSIFIED
D15,MemberKey,The unique key that is associated with the borrower. This is the same identifier that is used in the API member object.,UNCLASSIFIED
D15,MonthlyLoanPayment,The scheduled monthly loan payment.,INSTITUTIONAL and FINANCIAL
D15,LP_CustomerPayments,"Pre charge-off cumulative gross payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries.",INSTITUTIONAL and FINANCIAL
D15,LP_CustomerPrincipalPayments,"Pre charge-off cumulative principal payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries.",INSTITUTIONAL and FINANCIAL
D15,LP_InterestandFees,"Pre charge-off cumulative interest and fees paid by the borrower. If the loan has charged off, this value will exclude any recoveries.",INSTITUTIONAL and FINANCIAL
D15,LP_ServiceFees,Cumulative service fees paid by the investors who have invested in the loan.,INSTITUTIONAL and FINANCIAL
D15,LP_CollectionFees,Cumulative collection fees paid by the investors who have invested in the loan.,INSTITUTIONAL and FINANCIAL
D15,LP_GrossPrincipalLoss,The gross charged off amount of the loan.,INSTITUTIONAL and FINANCIAL
D15,LP_NetPrincipalLoss,The principal that remains uncollected after any recoveries.,INSTITUTIONAL and FINANCIAL
D15,LP_NonPrincipalRecoverypayments,"The interest and fee component of any recovery payments. The current payment policy applies payments in the following order: Fees, interest, principal.",INSTITUTIONAL and FINANCIAL
D15,PercentFunded,Percent the listing was funded.,INSTITUTIONAL and FINANCIAL
D15,Recommendations,Number of recommendations the borrower had at the time the listing was created.,ALTERNATIVE
D15,InvestmentFromFriendsCount,Number of friends that made an investment in the loan.,ALTERNATIVE
D15,InvestmentFromFriendsAmount,Dollar amount of investments that were made by friends.,ALTERNATIVE
D15,Investors,The number of investors that funded the loan.,INSTITUTIONAL and FINANCIAL
